id,path,source,date
0,'data\Screenshot_4.png','https://en.wikipedia.org/wiki/Daguerreotype#/media/File:Louis_Daguerre_2.jpg',''
1,'data\Screenshot_1.png','https://en.wikipedia.org/wiki/Daguerreotype#/media/File:Abraham_Lincoln_by_Nicholas_Shepherd_1846-crop.jpg',''
2,'data\Screenshot_2.png','https://en.wikipedia.org/wiki/Daguerreotype#/media/File:1837_Daguerreotype_of_Huet_by_Daguerre.jpg',''
3,'data\Screenshot_3.png','https://en.wikipedia.org/wiki/Daguerreotype#/media/File:Portrait_of_a_Daguerreotypist_1845.jpg',''
4,'data\Screenshot_5.png','https://upload.wikimedia.org/wikipedia/commons/9/9a/Friedrich_Wilhelm_Joseph_Schelling%2C_1848_daguerreotype_-_cropped.jpg',''
5,'data\Screenshot_6.png','https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Portrait_of_the_Duke_of_Wellington%2C_1844%2C_by_Antoine_Claudet.jpg/800px-Portrait_of_the_Duke_of_Wellington%2C_1844%2C_by_Antoine_Claudet.jpg',''
6,'data\Screenshot_7.png','https://en.wikipedia.org/wiki/Daguerreotype#/media/File:Frederic_Chopin_photo.jpeg',''
7,'data\Screenshot_8.png','https://commons.wikimedia.org/wiki/Daguerreotype#/media/File:Edgar_Allan_Poe_2.jpg',''
8,'data\Screenshot_9.png','https://commons.wikimedia.org/wiki/Daguerreotype#/media/File:Abraham_Lincoln-1864-3a13576v.jpg',''
9,'data\Screenshot_10.png','https://upload.wikimedia.org/wikipedia/commons/7/7e/Samuel_Finley_Breese_Morse_-_Daguerreotype_-3g12153v.jpg',''
10,'data\Screenshot_11.png','https://commons.wikimedia.org/wiki/Daguerreotype#/media/File:Thomas_mckinney_portrait.jpg',''
11,'data\Screenshot_12.png','https://commons.wikimedia.org/wiki/Daguerreotype#/media/File:Sm_lucy_stone_3d02055r.jpg',''
12,'data\Screenshot_13.png','https://commons.wikimedia.org/wiki/Daguerreotype#/media/File:Dr_William_Bland_ca_1845_-_portrait_a128689.jpg',''
13,'data\Screenshot_14.png','http://images.memorix.nl/dag/thumb/500x350/8dce5006-da13-e2ac-b2e2-ac89311a3a6b.jpg','1843'
14,'data\Screenshot_15.png','http://images.memorix.nl/dag/thumb/500x350/4814550e-ecf0-d49e-e100-814e12b132a7.jpg','1843'
15,'data\Screenshot_16.png','http://images.memorix.nl/dag/thumb/500x350/cb4acb82-5a7c-2ed4-6bf0-1eb5aa16fe32.jpg','1843'
16,'data\Screenshot_17.png','http://images.memorix.nl/dag/thumb/500x350/a44f31d5-6c34-68a5-01ba-a645acda96b7.jpg','1843'
17,'data\Screenshot_18.png','http://images.memorix.nl/dag/thumb/500x350/7462ee18-5a0f-12b7-f7b5-736ebe6f11af.jpg','1843'
18,'data\Screenshot_19.png','http://images.memorix.nl/dag/thumb/500x350/a0dfdd5c-9e76-3843-baac-08493b0bfa10.jpg','1843'
19,'data\Screenshot_20.png','http://images.memorix.nl/dag/thumb/500x350/b1a6514c-43e7-1a11-ff15-39d0c9f894b0.jpg','1843'
20,'data\Screenshot_21.png','http://images.memorix.nl/dag/thumb/500x350/246fe9de-27e5-cfbb-848b-222171566ba3.jpg','1843'
21,'data\Screenshot_22.png','http://images.memorix.nl/dag/thumb/500x350/05b53751-d3f2-ac83-b541-9b42159dd790.jpg','1843'
22,'data\Screenshot_23.png','http://images.memorix.nl/dag/thumb/500x350/3bf2f25a-7648-50d4-9f71-babf3acd54ac.jpg','1843'
23,'data\Screenshot_24.png','http://images.memorix.nl/dag/thumb/500x350/3bf2f25a-7648-50d4-9f71-babf3acd54ac.jpg','1843'
24,'data\Screenshot_25.png','http://images.memorix.nl/dag/thumb/500x350/b3d2c099-cccf-8c29-f01c-f7a035a5d7f4.jpg','1843'
25,'data\Screenshot_26.png','http://images.memorix.nl/dag/thumb/500x350/5fe06cc6-ac64-dd3c-9fb7-5f86c3c4f75e.jpg','1843'
26,'data\Screenshot_27.png','http://images.memorix.nl/dag/thumb/500x350/94a6d80f-77f9-c5df-f6b3-ae23af38f83a.jpg','1843'
27,'data\Screenshot_28.png','http://images.memorix.nl/dag/thumb/500x350/94a6d80f-77f9-c5df-f6b3-ae23af38f83a.jpg','1843'
28,'data\Screenshot_29.png','http://images.memorix.nl/dag/thumb/500x350/94a6d80f-77f9-c5df-f6b3-ae23af38f83a.jpg','1843'
29,'data\Screenshot_30.png','http://images.memorix.nl/dag/thumb/500x350/94a6d80f-77f9-c5df-f6b3-ae23af38f83a.jpg','1843'
30,'data\Screenshot_31.png','http://images.memorix.nl/dag/thumb/500x350/b1eb0b9c-c3a7-1247-090d-382717e61df8.jpg','1843'
